"description","category","subcategory","merchant","amount","is_expense"
"Tours & Excursions purchase","Travel & Vacation","Tours & Excursions","Go Kenya Tours and Safaris",258.34,1
"Safari Maasai Mara","Travel & Vacation","Tours & Excursions","Southern Cross Safaris",352.27,1
"Passport holder replacement","Travel & Vacation","Travel Accessories","Southern Cross Safaris",742.47,1
"DSTV Premium","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Overdraft Fees",436.6,1
"Shop insurance premium","Business & Work Expenses","Business Insurance","Grammarly Kenya",578.68,1
"Power bank tu","Travel & Vacation","Travel Accessories","Safari Line Defender",79.33,1
"Chama dividend","Income & Earnings","Rental Income","Salary",417.22,1
"Pension contribution","Financial Expenses","Retirement Savings","PesaPal",969.92,1
"Shule fees","Childcare & Parenting","Extracurricular Activities","Baby Shop Kenya",147.96,1
"KRA payment","Financial Expenses","Taxes","Youth Enterprise Development Fund",331.75,1
"Fine payment","Legal & Professional Services","Court Fees","Business Registration Service Kenya",877.43,1
"Fundi wa stima","Housing & Home Expenses","Home Maintenance & Repairs","Britam Holdings Plc",695.17,1
"Safari cover","Travel & Vacation","Travel Insurance","Expeditions Maasai Safaris",658.64,1
"Nairobi flight","Travel & Vacation","Flights","Bienvenido Kenya Tours and Safaris",278.63,1
"Kibble na treats","Pets & Animal Care","Pet Toys & Accessories","VetCare Animal Supplies",430.36,1
"Dog food kilo","Shopping","Pet Supplies","Chuka Town Mall",448.18,1
"Safari cover","Travel & Vacation","Travel Insurance","Twiga Tours",47.68,1
"Charitable Donations purchase","Gifts & Donations","Charitable Donations","Harambee for Humanity Kenya",364.47,1
"Mama Mboga","Gifts & Donations","Tips & Gratuities","Shining Hope for Communities (SHOFCO)",810.1,1
"Vet consultation fee","Pets & Animal Care","Veterinary Bills & Pet Insurance","Kenya Veterinary Supplies",961.47,1
"Monthly pay","Income & Earnings","Salary & Wages","Salary",762.53,1
"Late library book","Miscellaneous & Unexpected Expenses","Fines & Penalties","Repairs",399.16,1
"Land sale papers","Legal & Professional Services","Notary Services","KTA Advocates Kenya",611.09,1
"Dawa ya meno","Health & Fitness","Dental Care","Serenity Spa",373.32,1
"Vitenge kwa sherehe","Shopping","Clothing & Accessories","Ruaka Square",235.63,1
"Bundle ya data","Leisure & Entertainment","Video Games & Online Gaming","Anga Cinemas",964.95,1
"Pension contribution","Financial Expenses","Retirement Savings","Visa",646.2,1
"School uniform","Childcare & Parenting","Children's Clothing & Shoes","Baby Weaning & Nutrition Services",385.39,1
"Uni fees sem","Education & Learning","Tuition Fees","The Co-operative University of Kenya",958.4,1
"Ardhi County Levy","Housing & Home Expenses","Property Taxes","Pestavic E.A. Ltd",785.09,1
"KRA Business Permit","Legal & Professional Services","Licensing & Permits","BDO East Africa Legal & Advisory Services",665.38,1
"Land case fees","Legal & Professional Services","Lawyer Fees","Munyao Muthama & Kashindi Advocates",465.83,1
"Form 1 fees","Childcare & Parenting","School Fees & Tuition","Professional Nanny Services Kenya",964.67,1
"Fundis charge","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Repairs",320.08,1
"Knee rehab","Health & Fitness","Physical Therapy","Heartfulness",867.4,1
"Chai and mandazi","Food & Dining","Cafés & Coffee Shops","The Beach Bar",189.56,1
"Sauti Sol tix","Leisure & Entertainment","Concerts & Live Events","Capital Digital Media",424.83,1
"Mbwa kuoga","Pets & Animal Care","Grooming & Pet Spa Services","Exotic Pets Kenya",237.83,1
"Brides maids dresses","Gifts & Donations","Wedding & Birthday Gifts","The Grace Foundation Kenya",635.02,1
"Dog food kilo","Pets & Animal Care","Pet Food & Treats","Horse Riding & Stables Kenya",827.51,1
"KRA payment","Financial Expenses","Taxes","Prime Bank Kenya",932.7,1
"Nairobi flight","Transportation","Airfare & Flights","Kenya Railways Corporation",398.77,1
"Salon treatment","Personal Care & Grooming","Haircuts & Barber Services","MAC Cosmetics Kenya",837.04,1
"Petrol full tank","Utilities","Gas","Helios Towers Africa",269.55,1
"Beaded Maasai bracelet","Shopping","Jewelry & Watches","The Village Market",92.36,1
"Bundle la data","Leisure & Entertainment","Video Games & Online Gaming","Kenya International Film Festival",111.05,1
"Bundle ya data","Leisure & Entertainment","Video Games & Online Gaming","NAICCON LTD",195.44,1
"Juala smart zabez","Housing & Home Expenses","Home Security Systems","Kenindia Assurance Company",317.27,1
"Nyumba ya Agosti","Housing & Home Expenses","Rent","I&M Bank Kenya",603.33,1
"Fundi repair","Miscellaneous & Unexpected Expenses","Emergency Expenses","Repairs",180.49,1
"Tours & Excursions purchase","Travel & Vacation","Tours & Excursions","Spot Kenya Safaris",906.81,1
"Nyumba mwezi","Housing & Home Expenses","Rent","Cooperative Bank of Kenya",56.66,1
"Website design","Business & Work Expenses","Freelancer Payments","Kenya Revenue Authority (KRA)",724.62,1
"Stapler refills","Business & Work Expenses","Office Supplies","Grammarly Kenya",384.15,1
"Exercise books","Education & Learning","School Supplies","KCA University",798.17,1
"KCPE Registration Fee","Education & Learning","Test Preparation & Exams Fees","Oshwal Academy Nairobi",259.38,1
"Kids school fees","Childcare & Parenting","Daycare & Preschool Fees","Early Childhood Education Consultants Kenya",727.17,1
"Diesel pump full","Transportation","Fuel & Gasoline","Vivo Energy",195.83,1
"Pilau masala","Food & Dining","Specialty Foods","K'Osewe Ranalo Foods",259.93,1
"Land rates cleared","Business & Work Expenses","Professional Services","The Foundry Africa",101.66,1
"Cloud storage fee","Business & Work Expenses","Software & SaaS Subscriptions","Workify Kenya",668.25,1
"Remote controlled car","Shopping","Toys & Games","Galleria Mall",253.93,1
"DSTV subscription","Utilities","Cable & Streaming Services","Jamii Telecommunications Limited (JTL)",331.7,1
"New specs","Health & Fitness","Vision Care","Fresh.ie",14.86,1
"Exercise books","Education & Learning","School Supplies","Pwani University",668.88,1
"Pilau masala","Food & Dining","Specialty Foods","Purdy Arms",650.72,1
"Loan Repayments purchase","Financial Expenses","Loan Repayments","Citibank N.A. Kenya",205.55,1
"Chips funga","Food & Dining","Takeout & Delivery","Nairobi Street Kitchen",614.68,1
"Toy car","Shopping","Toys & Games","Zara",639.27,1
"Boot mpya","Shopping","Sports & Outdoor Equipment","Kitui Mega Mall",137.49,1
"* Board game","Childcare & Parenting","Kids' Toys & Games","Kids Fashion Kenya",10.25,1
"Ear lobe piercing","Personal Care & Grooming","Tattoos & Piercings","Bioderma Kenya",143.46,1
"Shikus wages","Childcare & Parenting","Babysitting & Nanny Services","Gertrude’s Children's Hospital",36.35,1
"Toothpaste na sabuni","Personal Care & Grooming","Personal Hygiene Products","Sheth Naturals",976.31,1
"Over speeding","Miscellaneous & Unexpected Expenses","Fines & Penalties","Repairs",88.27,1
"Fundi shoes","Gifts & Donations","Personal Gifts","UNHCR Kenya",379.32,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Mackenzie Maritime (EA) Limited",66.57,1
"Data Science course","Education & Learning","Online Courses","Valley Bookshop",709.25,1
"Sikukuu fragrance","Personal Care & Grooming","Perfumes & Fragrances","The Blow Dry Bar",517.79,1
"KRA filing fees","Legal & Professional Services","Tax Preparation Services","The Judiciary of Kenya",484.25,1
"Fundis bill","Housing & Home Expenses","Home Maintenance & Repairs","APA Insurance",715.57,1
"Acrylics refill","Personal Care & Grooming","Manicure & Pedicure","Bioderma Kenya",815.63,1
"Maji kubwa","Utilities","Water","Tullow Oil Kenya",896.01,1
"Case filing","Legal & Professional Services","Court Fees","Personal Injury & Accident Lawyers Kenya",659.17,1
"Matatu route permit","Legal & Professional Services","Licensing & Permits","Muthoga Gaturu Advocates",380.09,1
"Full-time payout","Income & Earnings","Salary & Wages","Pension & Retirement",549.15,1
"Safari game drive","Travel & Vacation","Tours & Excursions","African Sermon Safaris",769.57,1
"Safari ya Maasai","Travel & Vacation","Tours & Excursions","Spot Kenya Safaris",826.98,1
"Case filing fee","Legal & Professional Services","Court Fees","DLA Piper Africa Kenya",607.87,1
"Samosa pale Junction","Business & Work Expenses","Business Travel Expenses","Microsoft Office 365 Kenya",604.26,1
"Chess set score!","Leisure & Entertainment","Board Games & Puzzles","KenyaBuzz",941.54,1
"Aroma therapy session","Personal Care & Grooming","Spas & Massages","R&R Luxury",164.04,1
"Dog food kilo","Shopping","Pet Supplies","Kitale Mega Centre",621.68,1
"Shylock loan","Financial Expenses","Loan Repayments","U&I Microfinance Bank",213.28,1
"Zawadi harusi","Gifts & Donations","Wedding & Birthday Gifts","Cross Catholic Outreach Kenya",745.45,1
"Fuel for boda","Utilities","Gas","National Oil Corporation of Kenya (NOCK)",589.05,1
"Business permit renewal","Legal & Professional Services","Licensing & Permits","TripleOKLaw LLP",350.67,1
"Fade ya leo","Personal Care & Grooming","Haircuts & Barber Services","The Body Shop",10.2,1
"Business Travel Expenses purchase","Business & Work Expenses","Business Travel Expenses","National Hospital Insurance Fund (NHIF) Employer Contributions",943.24,1
"Bundle ya data","Utilities","Internet Service","Kenya Electricity Transmission Company (KETRACO)",665.66,1
"CBD parking","Transportation","Parking Fees","Total",958.15,1
"Lishe plus","Health & Fitness","Supplements & Vitamins","Kenya Red Cross Society",413.54,1
"KRA payment","Financial Expenses","Taxes","Spire Bank",335.68,1
"Shop rent","Business & Work Expenses","Business Insurance","Paystack Kenya",12.78,1
"Little Precious Fees","Childcare & Parenting","Daycare & Preschool Fees","The Karen Hospital Pediatrics",431.19,1
"Dogs vaccinations","Pets & Animal Care","Veterinary Bills & Pet Insurance","Canine Obedience School Kenya",323.3,1
"Kids school fees","Childcare & Parenting","Daycare & Preschool Fees","Giggles & Smiles Daycare",211.63,1
"Nyumba loan","Housing & Home Expenses","Mortgage Payments","GA Insurance Limited",86.27,1
"Driving license renewal","Transportation","Vehicle Registration & Licensing","Rongai Workshop & Transport Ltd.",54.55,1
"Sabuni na mafuta","Personal Care & Grooming","Personal Hygiene Products","Yves Rocher Kenya",307.31,1
"ATM withdrawal charge","Financial Expenses","Bank Fees","Middle East Bank Kenya",701.47,1
"Mama Rose kitenge","Gifts & Donations","Holiday Gifts","Big Brother Foundation Kenya",744.58,1
"Football academy fees","Childcare & Parenting","Extracurricular Activities","Brookhouse Early Years",704.01,1
"Kitenge fabric dye","Shopping","Hobby & Craft Supplies","Two Rivers Mall",862.79,1
"Safari cover","Travel & Vacation","Travel Insurance","Gamewatchers Safaris",820.7,1
"Internet Service purchase","Utilities","Internet Service","Kenya Power and Lighting Company (KPLC)",911.7,1
"Frames replacement","Health & Fitness","Vision Care","St. Theresa's Mission Hospital",335.24,1
"Petrol full tank","Transportation","Fuel & Gasoline","Protrac Africa Ltd.",209.55,1
"Gel manicure","Personal Care & Grooming","Salons & Beauty Treatments","Marini Naturals",951.52,1
"Alarm activation fee","Housing & Home Expenses","Home Security Systems","Family Bank",778.96,1
"Nyumba mwezi","Housing & Home Expenses","Rent","KCB Group Limited",936.31,1
"Dog chew toy","Pets & Animal Care","Pet Toys & Accessories","Hounds & Paws Pet Rescue",425.75,1
"Card renewal fee","Financial Expenses","Credit Card Annual Fees","Youth Enterprise Development Fund",202.93,1
"Fundi labour cost","Housing & Home Expenses","Home Maintenance & Repairs","Kenya Power and Lighting Company",613.98,1
"Ushauri wa pesa","Legal & Professional Services","Financial Advisors","Certified Business Coaches Kenya",793.95,1
"Mpesa advice","Legal & Professional Services","Financial Advisors","Mediation & Arbitration Centre Kenya",874.71,1
"Dog food kilo","Shopping","Pet Supplies","Meru Greenwood Park Mall",887.31,1
"Dawa ya miti","Health & Fitness","Alternative Medicine","Radiant Group of Hospitals",221.64,1
"Kazi Pro Annual","Business & Work Expenses","Software & SaaS Subscriptions","WooCommerce Kenya",942.54,1
"Watoto support","Gifts & Donations","Charitable Donations","Plan International Kenya",489.3,1
"Filling ya meno","Health & Fitness","Dental Care","Avenue Hospital",450.06,1
"Full body massage","Health & Fitness","Wellness & Spa Treatments","Dojo Wellness Club",85.66,1
"Fundis charge","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",105.68,1
"Dawa ya malaria","Health & Fitness","Prescription Medications","Nairobi Spine and Orthopedic Centre",214.1,1
"Sacco contribution","Financial Expenses","Investment Contributions","Development Bank of Kenya",828.7,1
"Sabuni na mafuta","Personal Care & Grooming","Personal Hygiene Products","Tira Beauty Kenya",480.06,1
"Nyumba rent","Housing & Home Expenses","Rent","G4S Kenya",374.33,1
"Nairobi return ticket","Travel & Vacation","Flights","Expeditions Maasai Safaris",998.07,1
"Board game","Shopping","Toys & Games","Lake Basin Mall Kisumu",540.3,1
"Vehicle for sherehe","Travel & Vacation","Car Rentals","Kimbilio Lodge",198.67,1
"Shamba cleaning","Housing & Home Expenses","Home Cleaning Services","KK Security Ltd",796.81,1
"Land rates due","Business & Work Expenses","Professional Services","Slack Kenya",117.71,1
"Nairobi flight","Transportation","Airfare & Flights","Transami (K) Ltd.",331.29,1
"Office 365 renewal","Business & Work Expenses","Software & SaaS Subscriptions","Evernote Kenya",59.68,1
"Filamu binge","Leisure & Entertainment","Streaming Services","Standard Group PLC",788.8,1
"Maji safi","Utilities","Water","Tropical Power Energy Group",608.91,1
"Kids game","Shopping","Toys & Games","Kisumu West End Mall",84.46,1
"Personal Hygiene Products purchase","Personal Care & Grooming","Personal Hygiene Products","Marini Naturals",436.71,1
"Sukuma wiki","Food & Dining","Groceries","Brew Bistro and Lounge",2826.56,1
"Beaded bracelet gift","Shopping","Jewelry & Watches","City Mall Nyali",700.37,1
"Dawa ya kienyeji","Health & Fitness","Alternative Medicine","PCEA Kikuyu Hospital",880.6,1
"Project management fees","Education & Learning","Professional Certifications","Moi University",969.49,1
"Ear lobe pierce","Personal Care & Grooming","Tattoos & Piercings","Amara Skincare",345.5,1
"Dog food treatos","Pets & Animal Care","Pet Toys & Accessories","Whiskers & Wings Pet Shop",907.45,1
"Chips funga mbili","Food & Dining","Restaurants","The Lighthouse Restaurant",27370.8,1
"Song rights","Income & Earnings","Royalties & Licensing Income","Pension & Retirement",351.68,1
"Sales incentives","Income & Earnings","Bonuses & Commissions","Passive Income",501.61,1
"Nyumba premium","Housing & Home Expenses","Home Insurance","Harvest Facility Management Group Ltd",229.84,1
"Umeme Septemba","Utilities","Electricity","Kenya Renewable Energy Association",192.46,1
"Co-op dividends","Income & Earnings","Investment Income","Salary",580.16,1
"Chess set","Leisure & Entertainment","Board Games & Puzzles","Easy FM Kenya",342.81,1
"Beads for crafts","Leisure & Entertainment","Hobbies","Ghafla Kenya",492.36,1
"Dawa ya homa","Health & Fitness","Prescription Medications","Haltons Pharmacy",302.92,1
"School shoes","Childcare & Parenting","Children's Clothing & Shoes","Mother Goose Daycare",959.75,1
"Perfumes & Fragrances purchase","Personal Care & Grooming","Perfumes & Fragrances","House of Taji",419.42,1
"Safaricom airtime bundle","Financial Expenses","Credit Card Annual Fees","Choice Microfinance Bank",408.4,1
